stock_receipt_id,item_number,stock_item_description,stock_item_spec,oem_model_no,oem_part_no,subinventory,locator,lot_number,receipt_number,receipt_date,po_number,quantity,uom,locator_segment1,locator_segment2,locator_segment3,locator_segment4,locator_segment5,locator_segment6,locator_segment7,locator_segment8,created_by,creation_date,last_updated_by,last_update_date
33,"2622I06537202860","90029164","Valve 90029164, Air drain (manual) tank include cable/wire ottawa kalmar","","","","01B0403A508","","2622090052894",21/10/2020 00:00:00,"2622040030429",4,"piece","2622","01B","4","3","A","508","","",,,,
34,"2622I06541640010","A100-489 ","Air Horn Assembly A100-489","","","","01B0403B105","","2622090052890",21/10/2020 00:00:00,"2622040030426",8,"Each","2622","01B","4","3","B","105","","",,,,
35,"2622I06541244150","T24095562 ","Bolt for bracket cabin mounting include nipple grease L ( Angle 90 Degree )","","","","01B0406B207","","2622090052893",21/10/2020 00:00:00,"2622040030411",16,"piece","2622","01B","4","6","B","207","","",,,,
36,"2622I05200203400","LED95 BVP174 LED95/CW ","Phillips LED BVP174 LED95/CW 100 W WB Grey CE 220V-240V AC 50/60 Hz 100 W/80X1W LED","","","","01B0302A101","","2622090052613",01/10/2020 00:00:00,"2622040030292",4,"piece","2622","01B","3","2","A","101","","",,,,
37,"2622I06292130030","Rotex GR 38 ","Flexible/ Rubber Insert Coupling Rotex GR 38 for Trolley Brake. brand Rotex","","","","01C0605B104","","2622090052708",09/10/2020 00:00:00,"2622040030366",3,"Each","2622","01C","6","5","B","104","","",,,,
38,"2622I06282248190","Twistlock Headblock RTGC ZPMC ","Twistlock Headblock Spreader ( complete Split Pin and Nut ), RTGC ZMPC","","","","01B0807A104","","2622090052728",09/10/2020 00:00:00,"2622040029242",18,"Set","2622","01B","8","7","A","104","","",,,,
39,"2622I06382284020","GX 42 K(A) ","Washer Spherical GX 42 K(A) / Bearing ,Twinlift Spreader, Project No. ZD082813 - ZD082814, Type SET03B, Drawing :middle Twsitlock Device, Draw No. MTWLT00-00C (Original)","","","","01C0701B207","","2622090052720",09/10/2020 00:00:00,"2622040030364",10,"Each","2622","01C","7","1","B","207","","",,,,
40,"2622I06232118030","VSN02FN18SKERIPZ.5PO ","Joystick Trolley Type : VSN02FN18SKERIPZ.5PO, SN : 2088760-5/3 brand Spohn & Burkhardt Germany","","","","01E0502C101","","2622090052715",09/10/2020 00:00:00,"2622040029779",1,"Unit","2622","01E","5","2","C","101","","",,,,
41,"2622I06232118040","VSN022FU18KKVRIPZ.5PO.TPO ","Joystick Hoist/Gantry Type : VSN022FU18KKVRIPZ.5PO.TPO, SN : 2088760-6/15 brand Spohn & Burkhardt Germany","","","","01E0502F101","","2622090052715",09/10/2020 00:00:00,"2622040029779",1,"Unit","2622","01E","5","2","F","101","","",,,,
42,"2622I06541220050","T15040196 ","Cap Fill Pipe T15040196","","","","01B0405A605","","2622090052975",27/10/2020 00:00:00,"2622040030465",3,"pack","2622","01B","4","5","A","605","","",,,,
