PAJAK_LINE_ID;BULAN_PAJAK;TAHUN_PAJAK;KODE_CABANG;NAMA_WP;NPWP;ALAMAT_WP;KODE_PAJAK;DPP;TARIF
45349;1;2017;000;"PT MAINTEK MITRA KENCANA";;"JL RAYA SERPONG KADEMANGAN";;;
45348;1;2017;000;"PT MAINTEK MITRA KENCANA";;"JL RAYA SERPONG KADEMANGAN";;;
45347;1;2017;000;"PT LAPI DIVUSI";;"Jl.Kyai Gede Utama No.12";;;
45346;1;2017;000;"Kamar Dagang Indonesia (KADIN)";;"Menara Kadin Indonesia lt 29";;;
45345;1;2017;000;"PT APLIKANUSA LINTASARTA";;"MENARA THAMRIN LANTAI 12";;;
45344;1;2017;000;"PT APLIKANUSA LINTASARTA";;"MENARA THAMRIN LANTAI 12";;;
45343;1;2017;000;"PT APLIKANUSA LINTASARTA";;"MENARA THAMRIN LANTAI 12";;;
45342;1;2017;000;"PT APLIKANUSA LINTASARTA";;"MENARA THAMRIN LANTAI 12";;;
45341;1;2017;000;"PT APLIKANUSA LINTASARTA";;"MENARA THAMRIN LANTAI 12";;;
45340;1;2017;000;"PT APLIKANUSA LINTASARTA";;"MENARA THAMRIN LANTAI 12";;;
45339;1;2017;000;"DELOITTE KONSULTAN INDONESIA";02.005.871-5.073.000;"THE PLAZA OFFICE TOWER 32ND FLOOR";;;
45338;1;2017;000;"DELOITTE KONSULTAN INDONESIA";02.005.871-5.073.000;"THE PLAZA OFFICE TOWER 32ND FLOOR";;;
45337;1;2017;000;"TRIMITRA BAGUS SELARAS, CV";;"Jl.  Manunggal Raya I No. 28 Cipinang Melayu Jakarta Timur";;;
45336;1;2017;000;"PT FAJAR MEDIA DHARMA LESTARI";;"Jl Bangka I/11B, Pala Mampang-Jakarta Selatan";;;
45335;1;2017;000;"WUXI HUA DONG HEAVY MACHINERY CO.LTD";;"NO.12 HUAYUAN ROAD,WUXI ECONOMY & DEVELOPMENT ZONE";;;
45334;1;2017;000;"WUXI HUA DONG HEAVY MACHINERY CO.LTD";;"NO.12 HUAYUAN ROAD,WUXI ECONOMY & DEVELOPMENT ZONE";;;
45333;1;2017;000;"WUXI HUA DONG HEAVY MACHINERY CO.LTD";;"NO.12 HUAYUAN ROAD,WUXI ECONOMY & DEVELOPMENT ZONE";;;
45332;1;2017;000;"YAYASAN PENDIDIKAN INTERNAL AUDIT (YPIA)";03.276.307.0-093.000;"Graha Sucofindo Lt.3";;;
45331;1;2017;000;"KOPEGMAR TANJUNG PRIOK";03.276.307.0-093.000;"JL. CEMPAKA NO. 14 RT 004/012";;;
45330;1;2017;000;"KOPEGMAR TANJUNG PRIOK";03.276.307.0-093.000;"JL. CEMPAKA NO. 14 RT 004/012";;;
45329;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45328;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
