"Line Id";"Kode Lampiran";"Kode Transaksi";"Kode Status";"Kode Dokumen";"NPWP Lawan Transaksi";"Nama Lawan Transaksi";"Kode Cabang";"Digit Tahun";"No Seri FP / No Nota Retur";"Tanggal Faktur";"Masa Pajak";"Tahun Pajak";Pembetulan;"Tanggal Tagih";"Tanggal Setor PPN";"Tanggal Setor PPN BM";"Invoice Number";"Tanggal GL";"Mata Uang";"Jumlah DPP";"Jumlah PPN";"Jumlah PPN BM"
1172442;2;;3;1;01.723.619.1.305.000;"MITRA INTEGRASI INFORMATIKA, PT";001;17;030.001.17.16967050;11/04/2017;4;2017;0;;;;"INV.50000541 FP.16697050";26/04/2017;IDR;202005000;20200500;0
1172443;2;;3;1;01.723.619.1.305.000;"MITRA INTEGRASI INFORMATIKA, PT";001;17;030.001.17.16697071;11/04/2017;4;2017;0;;;;INV.50000551;26/04/2017;IDR;81329100;8132910;0
1172444;2;;3;3;01.723.619.1.305.000;"MITRA INTEGRASI INFORMATIKA, PT";;;;;;;0;;;;"INV.50000572 FP.16697153";26/04/2017;IDR;471345000;47134500;0
1172445;2;;3;1;01.001.615.2-093.000;"WIJAYA KARYA, PT. (Persero)";034;16;030.034-16.60327723;07/12/2016;12;2016;0;;;;KU.02.02/02.DEP.BG.090/16;04/04/2017;IDR;338813690;33881369;0
1172448;2;;3;3;;"POLA RAYA STUDIO";;;;;;;0;;;;KU.270/27/6/1/DIT.TEK-16;13/04/2017;IDR;56500000;5650000;0
1172447;2;;3;3;;"POLA RAYA STUDIO";;;;;;;0;;;;KU.270/27/6/1/DIT.TEK-16;13/04/2017;IDR;59500000;5950000;0
1172446;2;;3;3;;"POLA RAYA STUDIO";;;;;;;0;;;;KU.270/27/6/1/DIT.TEK-16;13/04/2017;IDR;69500000;6950000;0
1172449;2;;3;1;;"JASA PERALATAN PELABUHAN INDONESIA, PT";017;17;030.017-17.53565470;07/03/2017;3;2017;0;;;;KW.661/JPPI/III/2017;17/04/2017;IDR;1449396220;144939622;0
1172451;2;;3;1;01.723.619.1.305.000;"MITRA KUALITAS UTAMA, PT";000;17;030.000-17.31225188;01/02/2017;2;2017;0;;;;MKU/065/17;07/04/2017;IDR;66000000;6600000;0
1172452;2;;3;5;;"PRIMALOKA DJAWHARHA PRAKARSA, PT.";009;17;031.009.17.06469124;13/04/2017;4;2017;0;;;;PDP/INV-2017/0053;26/04/2017;IDR;105318000;10531800;0
